Category,Type,Business,Location,Phone,Email,Website,DeliveryCollection,Range
,Brewery,Malt the Brewery,"Wren Davis site, Wycombe Road Prestwood",01494 865063,,www.maltthebrewery.co.uk,Delivery,"Beer, wine, Prosecco, gin, tonic and more. Order and pay online at the Malt the Brewery web site"
,Butchers,Stirret N,"Chequers Parade, Prestwood",01494 864013,,,Collection only,
,Convenience,Costcutter & Post Office,"High Street, Prestwood",01494 862219,,,Collection only,Convenience store
,Convenience,Londis & Post Office ,Cryer's Hill,01494 712245,,,Collection only,Convenience store
Food & Drink,Deli,2 Pound Street,Wendover,01296 585022,shop@2poundstreet.com,www.2poundstreet.com,Minimum order £20. FREE delivery for Wendover and surrounding villages up to 10miles. For free delivery select collect for FREE option and write a note to confirm we are delivering. If you order before midday your order will be delivered next working day.,"Wines, cheese & deli, hampers & gifts including smoked salmon, pasta, rice, pesto etc, savoury crackers, gluten free products, biscuits cakes & sweet treats"
Food & Drink,Fruit & Veg,N&P Fruits,At Wren Davis Prestwood,01494 702802,,Facebook - N&P Fruits,Collection & Delivery,"Mixed boxes of fresh fruit and veg, bags of potatoes, glass bottled milk and eggs if available for grab and go outside the shop. Payments by card, bank transfer or PayPal and cash. Taking orders for collection or delivery."
Food & Drink,Garden Centre,Hildreth's Garden Centre,Wycombe Road. Prestwood,01494 862720,,www.hildreths.co.uk,Collection only,"Bread, flour, pasta, eggs, pet & garden supplies"
Food & Drink,Groceries,Sainsbury's,Wycombe Road. Prestwood,01494 868164,,www.sainsburys.co.uk,Collection only,All products
Food & Drink,Groceries,The Co-op,"High Street, Prestwood",01494 862469,,https://www.coop.co.uk/,Delivery by the Prestwood & Missenden Volunteers,All products
Food & Drink,Groceries,The Co-Op,"Cosy Corner, Hazlemere",0800 435 902,,https://www.coop.co.uk/,Delivery in association with local groups like Village Aid,All products
Food & Drink,Milk,Wren Davis,Wycombe Road. Prestwood,01494 862224,,www.wrendavisdelivery.co.uk,Delivery,Milk
Food & Drink,Pharmacy,Prestwood Pharmacy,"High Street, Prestwood",01494 862303,,https://www.enimed.co.uk/,Delivery to those who are vulnerable or self-isolating,Medicines and prescriptions
