Category,Type,Business,Location,Phone,Email,Website,Delivery/Collection,Range
Food & Drink,Brewery,Malt the Brewery,"Wren Davis site, Wycombe Road Prestwood",01494 865063,,www.maltthebrewery.co.uk,Delivery,"Beer, wine, Prosecco, gin, tonic and more. Order and pay online at the Malt the Brewery web site"
Food & Drink,Convenience,Londis & Post Office ,Cryer's Hill,01494 712245,,,Collection only,Convenience store
Food & Drink,Deli,2 Pound Street,Wendover,01296 585022,shop@2poundstreet.com,www.2poundstreet.com,Collection & Delivery available. FREE delivery for Wendover and surrounding villages up to 10miles. Minimum order �20. If you order before 3pm your order will be ready next working day. Shop open 7 days. Deliveries Tuesday to Saturday.  Please also note national delivery is available for Christmas gifting.,"Wines, cheese & deli, fruit & veg boxes, hampers & gifts including smoked salmon, pasta, rice, pesto etc, savoury crackers, gluten free products, biscuits cakes & sweet treats"
Food & Drink,Fruit & Veg,N&P Fruits,At Wren Davis Prestwood,01494 702802,,Facebook - N&P Fruits,Collection & Delivery,"Mixed boxes of fresh fruit and veg, bags of potatoes, glass bottled milk and eggs if available for grab and go outside the shop. Payments by card, bank transfer or PayPal and cash. Taking orders for collection or delivery."
Food & Drink,Garden Centre,Hildreth's Garden Centre,Wycombe Road. Prestwood,01494 862720,,www.hildreths.co.uk,Collection only,"Bread, flour, pasta, eggs, pet & garden supplies"
Food & Drink,Groceries,Sainsbury's,Wycombe Road. Prestwood,01494 868164,,www.sainsburys.co.uk,Collection only,All products
Food & Drink,Groceries,The Co-Op,"Cosy Corner, Hazlemere",0800 435 902,,https://www.coop.co.uk/,Delivery in association with local groups like Village Aid,All products
Food & Drink,Milk,Wren Davis,Wycombe Road. Prestwood,01494 862224,,www.wrendavisdelivery.co.uk,Delivery,"Milk and all dairy products (cream, yoghurts, cheese etc). Eggs, Bread, fruit and vegetables, potatoes.Juice and soft drinks.Biscuits, Logs and Kindling."
Food & Drink,Pharmacy,Prestwood Pharmacy,"High Street, Prestwood",01494 862303,,https://www.enimed.co.uk/,Delivery to those who are vulnerable or self-isolating,Medicines and prescriptions
Food & Drink,Various,Peterley Manor Farm Shop,"Peterley Lane, Prestwood",01494 863566,,www.peterleymanorfarm.co.uk,"Our farm shop and plant nursery are open as usual, with strict social distancing measures in place. Our opening times are Tuesday to Saturday 8.30am ? 5pm and Sundays 9am ? 3pm. Or order and arrange delivery/collection athttps://shop.peterleymanorfarm.co.uk/","The Farm shop sells fruit & veg boxes plus a good range of meat, dairy, cakes & snacks, drinks, alcohol, frozen meals, store cupboard essentials (and lots more!)."
Food & Drink,Various,The Hatchery,"Red Barn Farm, Beaconsfield Road, Coleshill",,thehatchery@hotmail.co.uk,https://www.facebook.com/thehatcheryfarmshop/,Delivery for �5.00 charge - order online at www.thehatcheryfarmshop.co.uk,
